sample,psnr,ssim,lpips
average,33.7867,0.9339,0.1119
1,32.3235,0.9310,0.0506
2,31.5101,0.9202,0.0483
3,32.9933,0.9442,0.0373
4,32.6971,0.9744,0.0194
5,33.1355,0.8973,0.2331
6,33.5886,0.9124,0.1723
7,34.9674,0.8805,0.3593
8,35.8796,0.8889,0.3847
9,36.0552,0.9668,0.0023
10,32.8961,0.9618,0.0041
11,34.2557,0.9642,0.0022
12,37.0355,0.9606,0.0170
13,31.8396,0.8701,0.1271
14,31.4231,0.9162,0.0718
15,31.8128,0.9228,0.0791
16,32.8049,0.8084,0.1634
17,33.3266,0.9446,0.0470
18,33.9312,0.9709,0.0244
19,34.4600,0.9642,0.0387
20,36.5244,0.9700,0.0865
21,35.1546,0.9574,0.0514
22,33.7495,0.9460,0.0777
23,32.8360,0.9367,0.0692
24,32.7406,0.9357,0.0723
25,32.5561,0.9337,0.1044
26,31.7047,0.9232,0.1575
27,32.1734,0.9287,0.1293
28,31.7775,0.9233,0.1551
29,38.7929,0.9264,0.3442
30,38.4254,0.9320,0.2932
31,38.8649,0.9227,0.3541
32,35.7960,0.9234,0.2888
33,34.1173,0.9577,0.0575
34,32.8217,0.9458,0.0954
35,33.0415,0.9461,0.0681
36,40.5948,0.9886,0.0703
37,30.7883,0.8241,0.2094
38,35.2972,0.9811,0.0343
39,35.1715,0.9786,0.0404
40,33.5321,0.9561,0.0588
41,32.2870,0.9179,0.0586
42,31.7866,0.9082,0.0692
43,34.0513,0.9433,0.0435
44,32.3342,0.9361,0.0521
45,31.5336,0.9381,0.0489
46,32.6244,0.9619,0.0587
47,31.7575,0.9321,0.0724
48,32.1958,0.9453,0.0499
49,35.2544,0.9528,0.1835
50,32.1117,0.9232,0.2574
