PSNR, SSIM, LPIPS
Average PSNR: 23.4934
Average SSIM: 0.5911
Average LPIPS: 0.2469
22.9746, 0.6596, 0.1982
24.7567, 0.7647, 0.1322
27.5851, 0.8014, 0.1330
22.0714, 0.4706, 0.3592
24.8427, 0.6765, 0.1295
24.7658, 0.7450, 0.1119
25.4255, 0.7396, 0.1287
25.0755, 0.6916, 0.1252
24.5701, 0.6797, 0.1263
24.8011, 0.7820, 0.1435
29.8481, 0.8839, 0.1069
21.7661, 0.7315, 0.1674
23.2157, 0.5205, 0.3115
19.5897, 0.5848, 0.2201
22.6828, 0.4452, 0.2837
21.8651, 0.4577, 0.2753
25.2068, 0.4575, 0.2891
24.0793, 0.5413, 0.3916
16.9369, 0.4623, 0.3118
26.1443, 0.6347, 0.3103
26.0741, 0.5642, 0.3791
25.9812, 0.5674, 0.3930
30.0100, 0.8081, 0.1406
23.5322, 0.5954, 0.2266
18.2365, 0.5411, 0.2413
19.1822, 0.3244, 0.3654
18.2341, 0.3393, 0.3801
17.1950, 0.4253, 0.2808
18.6621, 0.4641, 0.3072
26.1439, 0.9005, 0.1095
23.0091, 0.6208, 0.2520
23.2471, 0.7921, 0.1337
24.8143, 0.4926, 0.2977
24.6393, 0.6199, 0.2220
27.0960, 0.6236, 0.2010
24.9626, 0.5224, 0.2977
24.5101, 0.6989, 0.2363
18.7254, 0.3103, 0.2675
20.8997, 0.3449, 0.2544
22.9310, 0.5304, 0.2826
26.6274, 0.6425, 0.3086
31.4363, 0.8055, 0.1594
20.8512, 0.3327, 0.4402
22.5587, 0.4138, 0.3135
20.7881, 0.5050, 0.3157
19.4842, 0.3316, 0.3440
22.8601, 0.7569, 0.1831
29.1598, 0.7085, 0.2840
22.3200, 0.6160, 0.2462
22.2959, 0.6283, 0.2269
