PSNR, SSIM, LPIPS
Average PSNR: 34.3610
Average SSIM: 0.9667
Average LPIPS: 0.0093
36.5463, 0.9929, 0.0107
37.5461, 0.9929, 0.0089
38.4561, 0.9891, 0.0076
37.0398, 0.9857, 0.0166
33.1721, 0.9511, 0.0064
34.2375, 0.9510, 0.0049
33.3548, 0.9485, 0.0058
33.5728, 0.9514, 0.0066
31.8630, 0.9678, 0.0050
31.9858, 0.9719, 0.0080
34.9519, 0.9809, 0.0101
33.9730, 0.9790, 0.0078
34.7228, 0.9585, 0.0069
33.5339, 0.9736, 0.0061
34.8677, 0.9605, 0.0071
34.5023, 0.9623, 0.0064
34.3749, 0.9751, 0.0085
35.9794, 0.9656, 0.0113
32.1631, 0.9805, 0.0087
33.1938, 0.9781, 0.0070
34.9013, 0.9683, 0.0073
34.9655, 0.9695, 0.0078
36.6463, 0.9114, 0.0177
34.4706, 0.9607, 0.0074
28.6075, 0.9271, 0.0103
28.3910, 0.9184, 0.0260
27.7659, 0.9213, 0.0133
27.8447, 0.9275, 0.0108
30.9238, 0.9508, 0.0101
30.7860, 0.9754, 0.0063
34.8598, 0.9789, 0.0076
29.7019, 0.9643, 0.0092
37.6036, 0.9881, 0.0080
35.4831, 0.9914, 0.0068
35.6111, 0.9845, 0.0070
37.0609, 0.9883, 0.0075
35.2795, 0.9824, 0.0059
33.8574, 0.9852, 0.0049
35.8891, 0.9771, 0.0077
37.4961, 0.9924, 0.0066
38.4524, 0.9748, 0.0161
38.9175, 0.9373, 0.0163
35.1021, 0.9757, 0.0137
35.2453, 0.9652, 0.0121
34.6688, 0.9805, 0.0062
33.5099, 0.9620, 0.0100
35.6905, 0.9817, 0.0080
38.9695, 0.9722, 0.0133
34.5909, 0.9494, 0.0102
34.7193, 0.9578, 0.0096
