sample,psnr,ssim,lpips
average,35.7911,0.9386,0.0426
1,32.1582,0.9467,0.0316
2,29.8725,0.9381,0.0405
3,33.5809,0.9502,0.0283
4,25.9890,0.8581,0.0873
5,39.8096,0.9609,0.0559
6,40.6763,0.9614,0.0378
7,42.4881,0.9630,0.0542
8,42.3591,0.9584,0.1134
9,30.2230,0.9660,0.0043
10,27.4058,0.9383,0.0035
11,28.4851,0.9586,0.0034
12,35.7493,0.9752,0.0045
13,31.0178,0.7182,0.1881
14,27.7607,0.7953,0.0827
15,29.6874,0.8281,0.0922
16,30.6610,0.6518,0.1814
17,29.7464,0.8946,0.0915
18,29.7157,0.9367,0.0573
19,32.7177,0.9540,0.0365
20,36.3104,0.9723,0.0173
21,37.7519,0.9759,0.0081
22,40.5814,0.9746,0.0203
23,37.9995,0.9729,0.0204
24,38.6661,0.9738,0.0188
25,40.8807,0.9869,0.0042
26,41.8972,0.9858,0.0042
27,41.5614,0.9858,0.0042
28,41.5456,0.9858,0.0054
29,43.0359,0.9602,0.0230
30,42.5389,0.9634,0.0221
31,43.2525,0.9591,0.0261
32,41.8500,0.9596,0.0243
33,33.3173,0.9648,0.0176
34,36.3276,0.9585,0.0508
35,29.8358,0.9344,0.0412
36,51.1156,0.9941,0.0027
37,37.0574,0.9296,0.0880
38,26.4568,0.8836,0.0942
39,28.1618,0.8895,0.0994
40,31.2220,0.9516,0.0478
41,34.9417,0.9509,0.0248
42,35.1403,0.9325,0.0644
43,34.2779,0.9622,0.0201
44,34.7069,0.9521,0.0493
45,34.6999,0.9633,0.0265
46,32.9799,0.9645,0.0210
47,37.8837,0.9748,0.0178
48,34.7914,0.9612,0.0246
49,45.8684,0.9845,0.0105
50,42.7949,0.9670,0.0383
