PSNR, SSIM, LPIPS
Average PSNR: 38.4722
Average SSIM: 0.9742
Average LPIPS: 0.0116
38.9076, 0.9880, 0.0122
39.7325, 0.9871, 0.0151
40.8021, 0.9800, 0.0322
39.8005, 0.9885, 0.0103
37.5446, 0.9545, 0.0085
38.4024, 0.9564, 0.0074
37.6017, 0.9509, 0.0067
37.6033, 0.9560, 0.0084
36.7069, 0.9552, 0.0148
36.9040, 0.9575, 0.0188
38.3560, 0.9535, 0.0440
38.3743, 0.9644, 0.0201
38.2583, 0.9774, 0.0063
36.7890, 0.9792, 0.0061
38.4155, 0.9806, 0.0055
38.3916, 0.9812, 0.0052
37.4341, 0.9822, 0.0110
39.6790, 0.9812, 0.0099
37.4608, 0.9923, 0.0040
38.7564, 0.9833, 0.0117
37.9254, 0.9710, 0.0145
38.0498, 0.9719, 0.0126
42.8105, 0.9686, 0.0186
38.2921, 0.9648, 0.0129
33.5517, 0.9517, 0.0086
34.5011, 0.9708, 0.0085
33.0622, 0.9671, 0.0055
34.0443, 0.9546, 0.0064
37.4733, 0.9798, 0.0051
37.0850, 0.9598, 0.0241
40.5170, 0.9768, 0.0128
36.4565, 0.9554, 0.0185
39.9717, 0.9851, 0.0097
37.9513, 0.9860, 0.0071
39.7197, 0.9769, 0.0103
39.5666, 0.9848, 0.0093
38.3312, 0.9741, 0.0118
38.6310, 0.9950, 0.0028
40.4445, 0.9883, 0.0066
40.1061, 0.9909, 0.0076
42.3596, 0.9769, 0.0108
42.9045, 0.9715, 0.0194
39.2350, 0.9886, 0.0088
40.0261, 0.9821, 0.0084
37.7940, 0.9830, 0.0054
38.1033, 0.9862, 0.0052
38.6729, 0.9768, 0.0227
42.6360, 0.9748, 0.0118
38.8792, 0.9721, 0.0073
38.5903, 0.9766, 0.0063
