sample,psnr,ssim,lpips
average,36.9316,0.9447,0.0444
1,36.1271,0.9470,0.0138
2,35.5386,0.9519,0.0098
3,37.4424,0.9603,0.0118
4,34.5770,0.9766,0.0064
5,37.9280,0.9288,0.0834
6,38.4890,0.9314,0.0715
7,38.6017,0.9174,0.1684
8,39.0370,0.9203,0.1732
9,36.4816,0.9507,0.0024
10,33.7139,0.9532,0.0023
11,35.4687,0.9512,0.0011
12,38.1734,0.9472,0.0107
13,33.8370,0.8682,0.0732
14,33.9904,0.9239,0.0138
15,34.1366,0.9256,0.0232
16,33.6109,0.8403,0.0826
17,34.0529,0.9456,0.0167
18,35.5418,0.9663,0.0088
19,37.0549,0.9598,0.0152
20,39.3572,0.9649,0.0420
21,37.1906,0.9593,0.0233
22,38.1330,0.9521,0.0343
23,38.2480,0.9519,0.0246
24,38.1104,0.9536,0.0205
25,37.5707,0.9567,0.0252
26,37.9773,0.9543,0.0295
27,37.3135,0.9530,0.0286
28,37.9822,0.9544,0.0328
29,39.8944,0.9326,0.1946
30,39.7852,0.9359,0.1718
31,40.0524,0.9319,0.1821
32,39.2238,0.9345,0.1586
33,37.8112,0.9659,0.0177
34,36.2994,0.9497,0.0295
35,35.9827,0.9532,0.0273
36,41.8548,0.9836,0.0203
37,35.0904,0.8801,0.0521
38,34.0267,0.9731,0.0161
39,34.2988,0.9641,0.0196
40,34.6906,0.9559,0.0242
41,36.6120,0.9422,0.0207
42,36.1051,0.9370,0.0166
43,37.0485,0.9553,0.0232
44,36.5165,0.9461,0.0250
45,36.7548,0.9598,0.0111
46,36.3103,0.9671,0.0076
47,37.1669,0.9537,0.0167
48,37.0439,0.9609,0.0135
49,39.5004,0.9579,0.0489
50,38.8250,0.9301,0.0753
