PSNR, SSIM, LPIPS
Average PSNR: 38.6787
Average SSIM: 0.9727
Average LPIPS: 0.0121
39.4258, 0.9878, 0.0141
40.2625, 0.9871, 0.0160
40.9831, 0.9794, 0.0244
40.6446, 0.9894, 0.0081
36.6553, 0.9628, 0.0071
38.1417, 0.9634, 0.0081
37.4004, 0.9614, 0.0069
37.2362, 0.9619, 0.0077
35.2726, 0.9630, 0.0160
37.7895, 0.9639, 0.0155
39.3826, 0.9583, 0.0388
39.0237, 0.9649, 0.0212
38.9484, 0.9766, 0.0062
37.3257, 0.9774, 0.0062
39.5217, 0.9803, 0.0047
39.3958, 0.9797, 0.0048
37.9968, 0.9825, 0.0123
40.3923, 0.9828, 0.0108
38.0172, 0.9935, 0.0044
39.1952, 0.9830, 0.0142
38.0764, 0.9731, 0.0116
38.1974, 0.9740, 0.0108
38.9231, 0.8349, 0.0337
37.2287, 0.9599, 0.0137
33.2570, 0.9498, 0.0063
34.6153, 0.9731, 0.0088
33.0118, 0.9676, 0.0059
33.9406, 0.9552, 0.0061
38.1294, 0.9820, 0.0042
35.3773, 0.9578, 0.0351
39.1525, 0.9789, 0.0106
35.5867, 0.9544, 0.0283
41.1343, 0.9864, 0.0084
38.9206, 0.9861, 0.0093
40.0417, 0.9776, 0.0155
40.7884, 0.9858, 0.0079
39.9945, 0.9765, 0.0117
39.4512, 0.9956, 0.0028
41.1260, 0.9893, 0.0054
40.7511, 0.9911, 0.0090
42.6795, 0.9767, 0.0091
43.2084, 0.9697, 0.0155
39.8359, 0.9894, 0.0079
40.4306, 0.9846, 0.0065
38.2904, 0.9818, 0.0078
38.7455, 0.9872, 0.0054
38.1059, 0.9717, 0.0321
42.9496, 0.9758, 0.0110
39.6529, 0.9747, 0.0080
39.3208, 0.9772, 0.0074
