sample,psnr,ssim,lpips
average,20.6839,0.7075,0.3856
1,19.4131,0.6588,0.4121
2,20.1306,0.6544,0.3479
3,19.2306,0.6990,0.3541
4,17.2526,0.3905,0.5963
5,25.7803,0.7754,0.4695
6,23.7313,0.7628,0.4430
7,30.2578,0.8230,0.4997
8,30.3140,0.8152,0.4642
9,18.8294,0.7765,0.1496
10,19.2345,0.8025,0.0725
11,16.4960,0.6965,0.1244
12,25.3803,0.8979,0.0689
13,21.6354,0.4508,0.6295
14,19.6208,0.4935,0.4698
15,20.9382,0.4883,0.4972
16,19.9977,0.3924,0.9085
17,18.7790,0.4420,0.5485
18,17.9956,0.6118,0.4967
19,18.5343,0.7103,0.4014
20,19.5595,0.8258,0.3001
21,20.7864,0.6686,0.1942
22,22.8600,0.7982,0.2586
23,22.3427,0.8106,0.3234
24,23.3084,0.8095,0.2946
25,23.2597,0.8701,0.1648
26,22.5764,0.8606,0.1879
27,22.5330,0.8553,0.2213
28,22.5436,0.8588,0.1751
29,19.2416,0.8055,0.4951
30,19.0481,0.7890,0.4691
31,19.7446,0.8180,0.4601
32,19.1278,0.8031,0.4410
33,19.4177,0.7251,0.3571
34,22.0576,0.7178,0.4312
35,19.0073,0.6388,0.4213
36,17.5469,0.8798,0.3015
37,23.3757,0.7708,0.4077
38,16.6488,0.4822,0.6396
39,17.7349,0.5004,0.6352
40,19.9595,0.6950,0.4969
41,19.0456,0.6355,0.3605
42,18.4237,0.5992,0.3909
43,17.6898,0.6424,0.3944
44,19.2504,0.6063,0.3340
45,20.0348,0.6942,0.3312
46,19.1450,0.6742,0.3754
47,21.9468,0.7785,0.3183
48,20.0489,0.6970,0.3481
49,18.9533,0.8729,0.3307
50,23.4265,0.8497,0.4645
