PSNR, SSIM, LPIPS
Average PSNR: 19.3100
Average SSIM: 0.6480
Average LPIPS: 0.2855
19.7479, 0.8206, 0.2958
20.0910, 0.8515, 0.2531
20.3552, 0.8427, 0.2850
20.0378, 0.6839, 0.3230
21.6246, 0.7383, 0.2027
21.5523, 0.7756, 0.1882
21.5052, 0.7500, 0.1910
21.6155, 0.7539, 0.1957
21.3827, 0.7530, 0.1663
19.5443, 0.7043, 0.1855
19.6299, 0.7988, 0.3264
18.6826, 0.7179, 0.1977
18.6345, 0.5245, 0.2981
17.3299, 0.6512, 0.2003
19.1701, 0.5469, 0.2911
18.5607, 0.5477, 0.2821
18.2459, 0.6655, 0.4115
20.6324, 0.6684, 0.4330
15.4165, 0.6357, 0.2588
17.9483, 0.6944, 0.3727
18.8899, 0.5224, 0.4675
18.7402, 0.5164, 0.4697
22.1436, 0.8350, 0.2725
19.2745, 0.5879, 0.2701
15.9372, 0.5332, 0.2192
16.1175, 0.3830, 0.3072
15.5304, 0.3864, 0.3743
15.1279, 0.5345, 0.2287
15.6477, 0.4464, 0.2820
19.4807, 0.8201, 0.2477
18.3752, 0.6376, 0.3959
19.4284, 0.7503, 0.2322
19.6704, 0.6501, 0.3536
19.5216, 0.7750, 0.3104
20.0118, 0.7164, 0.3283
19.7047, 0.6632, 0.3447
18.4188, 0.6381, 0.3594
15.6379, 0.4202, 0.1976
18.3771, 0.4995, 0.1998
19.4695, 0.7130, 0.3550
22.5755, 0.6557, 0.2795
28.5654, 0.8352, 0.1912
17.7002, 0.4586, 0.3832
20.6238, 0.5647, 0.2788
17.1654, 0.4951, 0.2641
17.6965, 0.5271, 0.3019
18.1074, 0.7114, 0.3086
24.6955, 0.6772, 0.2500
20.3012, 0.6581, 0.2279
20.8561, 0.6653, 0.2143
